Score,X,Y,GEN_EPA_ID,ZIP5,POINT_X_12_13,POINT_Y_12_13,POINT_X,POINT_Y
100,-122.653481,38.46639,CAL000343456,95409,0,0,-122.653481,38.46639
100,-117.367972,34.098385,CAL000343460,92376,0,0,-117.367972,34.098385
100,-120.435731,34.997241,CAL000343464,93444,0,0,-120.435731,34.997241
100,-117.716811,33.629047,CAL000343473,92630,0,0,-117.716811,33.629047
96.93,-118.051477,33.937414,CAL000343482,90670,0,0,-118.051477,33.937414
100,-119.826086,36.808131,CAL000343486,93711,0,0,-119.826086,36.808131
100,-118.4985,34.423825,CAL000343492,91351,0,0,-118.4985,34.423825
100,-117.846118,34.106577,CAL000343499,91724,0,0,-117.846118,34.106577
100,-116.978748,32.831274,CAL000343511,92071,0,0,-116.978748,32.831274
100,-118.13962,33.966898,CAL000343514,90201,0,0,-118.13962,33.966898
100,-118.571632,34.433114,CAL000343531,91355,0,0,-118.571632,34.433114
0,0,0,CAL000343534,95963,-122.2991904,39.74632276,-122.2991904,39.74632276
0,0,0,CAL000343535,95963,-122.2991904,39.74632276,-122.2991904,39.74632276
97.89,-121.391432,38.690391,CAL000343536,95660,0,0,-121.391432,38.690391
100,-120.671104,35.246344,CAL000343545,93401,0,0,-120.671104,35.246344
100,-117.724554,33.62314,CAL000343549,92653,0,0,-117.724554,33.62314
100,-121.929447,37.49506,CAL000343555,94539,0,0,-121.929447,37.49506
100,-118.003764,33.859017,CAL000343563,90621,0,0,-118.003764,33.859017
100,-121.877793,39.773246,CAL000343576,95973,0,0,-121.877793,39.773246
98,-118.168884,33.941258,CAL000343585,90280,0,0,-118.168884,33.941258
96.86,-117.77607,34.095225,CAL000343599,91750,0,0,-117.77607,34.095225
97.89,-117.103064,32.656127,CAL000343621,91950,0,0,-117.103064,32.656127
95.35,-118.067222,34.058263,CAL000343623,91733,0,0,-118.067222,34.058263
100,-117.939155,33.753927,CAL000343637,92843,0,0,-117.939155,33.753927
100,-117.155182,33.507326,CAL000343640,92590,0,0,-117.155182,33.507326
100,-117.316223,34.082771,CAL000343641,92324,0,0,-117.316223,34.082771
100,-118.139701,33.997404,CAL000343644,90040,0,0,-118.139701,33.997404
100,-116.964333,32.831134,CAL000343654,92071,0,0,-116.964333,32.831134
100,-117.869465,33.911119,CAL000343666,92821,0,0,-117.869465,33.911119
100,-121.466167,38.656567,CAL000343691,95838,0,0,-121.466167,38.656567
0,0,0,CAL000343713,93063,-118.6856606,34.29682379,-118.6856606,34.29682379
100,-117.447175,33.960413,CAL000343715,92504,0,0,-117.447175,33.960413
98,-118.179635,33.957235,CAL000343718,90280,0,0,-118.179635,33.957235
100,-121.42597,38.647379,CAL000343720,95838,0,0,-121.42597,38.647379
100,-122.385051,40.564459,CAL000343721,96001,0,0,-122.385051,40.564459
100,-117.691681,33.97932,CAL000343724,91710,0,0,-117.691681,33.97932
97.89,-118.405763,34.202925,CAL000343730,91605,0,0,-118.405763,34.202925
100,-122.711907,38.345011,CAL000343774,94928,0,0,-122.711907,38.345011
100,-121.662719,36.717739,CAL000343777,93907,0,0,-121.662719,36.717739
100,-121.439126,37.739738,CAL000343781,95376,0,0,-121.439126,37.739738
100,-117.917975,34.001495,CAL000343783,91748,0,0,-117.917975,34.001495
100,-117.172606,32.890101,CAL000343785,92121,0,0,-117.172606,32.890101
100,-121.941524,37.367053,CAL000343792,95050,0,0,-121.941524,37.367053
100,-117.48598,34.083936,CAL000343805,92335,0,0,-117.48598,34.083936
93.25,-118.282668,33.910617,CAL000343809,90061,0,0,-118.282668,33.910617
100,-117.109528,32.905211,CAL000343814,92131,0,0,-117.109528,32.905211
100,-118.237711,34.054853,CAL000343816,90012,0,0,-118.237711,34.054853
100,-123.21055,39.164772,CAL000343823,95482,0,0,-123.21055,39.164772
