RefundClaim,QuarterYear,ExportGal,InterstateGal,MotorCarrierGal,PurchasedFromCAGal,FedGovGal,TotalOilGal,TotalAmount
14700,July - September 2008,5643.5,0,0,0,0,5643.5,902.96
14701,July - September 2008,0,0,3854,0,0,3854,616.64
14703,October - December 2008,23411.54,0,0,0,0,23411.54,3745.85
14706,July - September 2008,4068,0,0,0,0,4068,650.88
14707,July - September 2008,12233.35,0,0,0,0,12233.35,1957.34
14709,July - September 2008,16964.41,0,0,0,0,16964.41,2714.31
14710,July - September 2008,14632,0,0,0,0,14632,2341.12
14711,July - September 2008,8212.5,0,0,0,0,8212.5,1314
14712,October - December 2008,0,0,967,0,0,967,154.72
14713,October - December 2008,0,0,23413,0,0,23413,3746.08
14905,October - December 2008,4778,0,1750,0,0,6528,1044.48
14906,October - December 2008,243.5,0,1164.35,0,0,1407.85,225.26
14907,October - December 2008,513.8,0,0,0,0,513.8,82.21
14908,October - December 2008,11242.5,0,0,0,0,11242.5,1798.8
14909,October - December 2008,16831,0,0,0,0,16831,2692.96
14910,October - December 2008,16291,0,0,0,0,16291,2606.56
14911,January - March 2009,0,0,2666,0,0,2666,426.56
14912,October - December 2008,0,0,3954,0,0,3954,632.64
14913,October - December 2008,10802.32,0,0,0,0,10802.32,1728.37
14914,October - December 2008,801,0,4515,0,0,5316,850.56
14915,October - December 2008,0,0,1409,0,0,1409,225.44
14916,October - December 2008,630,0,0,0,0,630,100.8
14917,October - December 2008,0,0,2500,0,0,2500,400
14918,October - December 2008,18131,0,0,0,0,18131,2900.96
14919,October - December 2008,0,0,6362,0,0,6362,1017.92
14920,October - December 2008,272,0,1574.75,0,0,1846.75,295.48
14921,October - December 2008,0,0,2804,0,0,2804,448.64
14922,October - December 2008,24187,0,0,0,0,24187,3869.92
14923,October - December 2008,10347,0,0,0,0,10347,1655.52
14925,October - December 2008,0,0,4986,0,0,4986,797.76
14926,October - December 2008,15975,0,0,0,0,15975,2556
14927,October - December 2008,0,0,1570,0,0,1570,251.2
14928,October - December 2008,7878,0,0,0,0,7878,1260.48
14929,October - December 2008,14335.2,0,0,0,0,14335.2,2293.63
14930,October - December 2008,18516.8,0,0,0,0,18516.8,2962.69
14931,October - December 2008,57605.69,0,0,0,0,57605.69,9216.91
14932,October - December 2008,12939.25,0,0,0,0,12939.25,2070.28
14933,October - December 2008,0,0,3484.1,0,0,3484.1,557.46
14934,April - June 2009,484199.07,0,0,0,0,484199.07,77471.85
14936,October - December 2008,51633,0,0,0,0,51633,8261.28
14937,October - December 2008,16508,0,0,0,0,16508,2641.28
14938,October - December 2008,0,0,13830,0,0,13830,2212.8
14939,October - December 2008,0,0,948,0,0,948,151.68
14940,October - December 2008,13305.5,0,0,0,0,13305.5,2128.88
14941,October - December 2008,0,0,1240,0,0,1240,198.4
14942,October - December 2008,12837.45,0,0,0,0,12837.45,2053.99
14943,January - March 2009,21211.77,0,0,0,0,21211.77,3393.88
14944,July - September 2009,19883,0,0,0,0,19883,3181.28
14945,October - December 2008,0,0,1681,0,0,1681,268.96
14946,January - March 2009,11929,0,0,0,0,11929,1908.64
14947,January - March 2009,0,0,427,0,0,427,68.32
14948,October - December 2008,6030.67,0,0,0,0,6030.67,964.91
14949,January - March 2009,3176,0,0,0,0,3176,508.16
14950,January - March 2009,2587,0,0,0,0,2587,413.92
14951,October - December 2008,6911.5,0,0,0,0,6911.5,1105.84
14952,October - December 2008,0,0,4240,0,0,4240,678.4
14953,October - December 2008,0,0,319,0,0,319,51.04
14954,October - December 2008,287,0,415,0,0,702,112.32
14955,October - December 2008,14091,0,0,0,0,14091,2254.56
14957,October - December 2008,0,0,2946,0,0,2946,471.36
14958,October - December 2008,0,0,3648,0,0,3648,583.68
15149,January - March 2009,12643,0,0,0,0,12643,2022.88
15150,January - March 2008,27766,0,0,0,0,27766,4442.56
15151,January - March 2009,0,0,176,0,0,176,28.16
15152,January - March 2008,6133.33,0,0,0,0,6133.33,981.33
15153,January - March 2009,5040,0,0,0,0,5040,806.4
15154,January - March 2009,1481,0,1969,0,0,3450,552
15155,January - March 2009,12677.1,0,0,0,0,12677.1,2028.34
15156,January - March 2009,373.5,0,637,0,0,1010.5,161.68
15157,January - March 2009,0,0,2715,0,0,2715,434.4
15158,January - March 2009,0,0,2249,0,0,2249,359.84
15159,January - March 2009,8448,0,0,0,0,8448,1351.68
15160,January - March 2009,0,0,1920,0,0,1920,307.2
15161,January - March 2009,0,0,864,0,0,864,138.24
15163,January - March 2009,0,0,702,0,0,702,112.32
15164,January - March 2009,1523.33,0,0,0,0,1523.33,243.73
15165,January - March 2009,0,0,864,0,0,864,138.24
15166,January - March 2009,10443,0,0,0,0,10443,1670.88
15167,January - March 2009,0,0,200,0,0,200,32
15169,January - March 2009,0,0,1353,0,0,1353,216.48
15170,January - March 2009,0,0,4382,0,0,4382,701.12
15171,January - March 2009,0,0,107,0,0,107,17.12
15173,January - March 2009,474.35,0,0,0,0,474.35,75.9
15174,January - March 2009,1209,0,0,0,0,1209,193.44
15175,January - March 2009,1446,0,0,0,0,1446,231.36
15176,January - March 2008,38169,0,724,0,0,38893,6222.88
15177,January - March 2009,0,0,428,0,0,428,68.48
15178,January - March 2009,0,0,13429,0,0,13429,2148.64
15179,January - March 2009,8586,0,0,0,0,8586,1373.76
15180,January - March 2009,14504.2,0,0,0,0,14504.2,2320.67
15210,January - March 2009,79.5,0,620,0,0,699.5,111.92
15211,January - March 2009,130,0,3507,0,0,3637,581.92
15212,January - March 2009,6673,0,886,0,0,7559,1209.44
15213,January - March 2009,4606,0,1109,0,0,5715,914.4
15214,January - March 2009,0,0,2976,0,0,2976,476.16
15215,January - March 2008,0,0,2316,0,0,2316,370.56
15216,July - September 2009,7031,0,0,0,0,7031,1124.96
15217,April - June 2009,1745,0,1128,0,0,2873,459.68
15218,April - June 2009,4601,0,0,0,0,4601,736.16
15219,April - June 2009,0,0,2819,0,0,2819,451.04
15411,April - June 2009,175,0,693.5,0,0,868.5,138.96
15412,April - June 2009,14443,0,0,0,0,14443,2310.88
