SourceName,RptSrc,SrcEPAID,DestinationName,DestType,DestEPAID,QuarterYear,LubeOil,IndOil,Total
Black Star Oil Company,Hauler,CAL912823785,Evergreen Environmental Services (Carson),Recycler,CAD981696420,April - June 2004,104190,,104190
Butler_ J.W._ Oil_ Inc.,Hauler,CAD981426539,Butler_ J.W._ Oil_ Inc.,Hauler,CAD981426539,April - June 2004,214000,,214000
Butler_ J.W._ Oil_ Inc.,Hauler,CAD981426539,Butler_ J.W._ Oil_ Inc.,Transfer Station,CAD981426539,April - June 2004,214000,,214000
California Clean-Up Environmental Services,Hauler,CAR000018168,Demenno/Kerdoon,Recycler,CAT080013352,April - June 2004,25625,,25625
California Cool,Hauler,CAL000266863,Evergreen Environmental Services (Carson),Recycler,CAD981696420,April - June 2004,22875,,22875
California Oil Transport_ Inc.,Hauler,CAL000287430,Demenno/Kerdoon,Recycler,CAT080013352,April - June 2004,730049,,730049
California Waste Oil_ Inc.,Hauler,CAL000161289,Demenno/Kerdoon,Recycler,CAT080013352,April - June 2004,20000,,20000
California Waste Oil_ Inc.,Hauler,CAL000161289,Advanced Environmental_ Inc.,Recycler,CAT080025711,April - June 2004,95000,,95000
California Waste Oil_ Inc.,Hauler,CAL000161289,Advanced Environmental_ Inc.,Transfer Station,CAT080025711,April - June 2004,95000,,95000
Carrs Waste Oil Service,Hauler,CAL000280677,Evergreen Environmental Services (Carson),Recycler,CAD981696420,April - June 2004,46428,,46428
Chain_ S.R._ Environmental Services,Hauler,CAL000277184,Alviso Independent Oil_ Inc.,Transfer Station,CAL000161743,April - June 2004,3607,,3607
Chico Drain Oil,Hauler,CAD980694103,Chico Drain Oil,Hauler,CAD980694103,April - June 2004,485479,,485479
Chico Drain Oil,Hauler,CAD980694103,Asbury Environmental Services-Fortuna,Recycler,CAL930256136,April - June 2004,102167,,102167
Chico Drain Oil,Hauler,CAD980694103,Chico Drain Oil,Transfer Station,CAD980694103,April - June 2004,485479,,485479
