GEN_EPA_ID,TSDF_EPA_ID,CAT_CODE,METH_CODE,CONTAINER_TYPE,QUANTITY,UNITS
CAD089863641,CAD980884183,223,H141,TP,350,G
CA9170023130,CAD982444481,223,H010,DM,1236,P
CA9170023130,NVT330010000,223,H132,DF,485,P
CA9170023130,NVT330010000,223,H132,DM,1950,P
CA7170090016,CAD982444481,223,H010,DM,199,P
CA4971520834,CAD059494310,223,H141,DM,235,P
CAD044405603,AZR000501510,223,H141,TT,1800,G
CAL000191495,AZR000501510,223,H141,TT,2600,G
CAD981577927,AZR000501510,223,H141,CM,4,Y
CAR000091850,CAD059494310,223,H141,DM,30,G
CAL000827878,CAD044003556,223,H141,TT,450,G
CAD008330862,CAT080013352,223,H039,DM,55,G
CAD008330862,CAT080013352,223,H039,DM,55,G
CAD044433613,CAT080013352,223,H039,TP,160,G
CAR000156620,CAD980887418,223,H141,DM,140,P
CAL000269849,CAT080013352,223,H039,TT,75,G
CAD980887418,CAT000646117,223,H132,CM,20,Y
CAD983587320,CAD980887418,223,H141,DM,200,P
CAD980737225,CAD980887418,223,H141,DM,900,P
CAR000181586,CAD982446882,223,H141,TT,430,G
CAL000280334,CAD981696420,223,H141,DF,10,G
CAL000273140,CAD981696420,223,H141,DF,55,G
CAL000338159,CAD980887418,223,H141,DM,300,P
CAL000209628,CAD980887418,223,H141,DM,50,G
CAL000187861,CAD980887418,223,H141,DM,200,P
CAL000092437,CAD980887418,223,H141,DM,55,G
CAL000317357,CAD980887418,223,H141,DM,500,P
CAD981696420,CAT080013352,223,H039,TT,2200,G
CAL000216513,CAD980887418,223,H141,DM,300,P
CAL000324802,CAD980887418,223,H141,TT,2350,G
CAD981400278,CAD980887418,223,H141,TT,540,G
CAD029451945,CAD980887418,223,H141,DM,600,P
CAL000288737,CAD980887418,223,H141,TT,90,G
CAL000115617,CAD980887418,223,H141,TT,70,G
CAD982347098,CAD980887418,223,H141,TT,890,G
CAL000259611,CAD981696420,223,H141,TT,400,G
CAL000067819,CAD981696420,223,H141,TT,420,G
CAL000282546,CAD981696420,223,H141,TT,2712,G
CAL912214595,CAD981696420,223,H141,TT,95,G
CAL000285524,UTD982589459,223,H039,TP,1800,G
CAD983673872,NVD982358483,223,H039,TT,150,G
CAD983673872,NVD982358483,223,H039,TT,150,G
CAL000336627,CAD044003556,223,H141,TT,60,G
CAL000336611,CAD044003556,223,H141,TT,55,G
HIR000000737,CAT080013352,223,H039,TT,4800,G
HIR000000737,CAT080013352,223,H039,TT,4800,G
HIR000000737,CAT080013352,223,H039,TT,4800,G
HIR000000737,CAT080013352,223,H039,TT,4800,G
CAL000111787,CAD980887418,223,H141,DM,1450,P
CAD980881478,CAD980887418,223,H141,DM,290,P
CAL000265642,CAD980887418,223,H141,DM,400,P
CAL000309131,CAT080013352,223,H039,TP,550,G
CAL000329992,CAT080013352,223,H039,TP,1100,G
CAD053853644,CAT080013352,223,H039,TP,150,G
CAL000021863,CAD981696420,223,H141,TT,2800,G
CAD981619398,CAD981696420,223,H141,TT,500,G
CAL000015777,CAT080013352,223,H039,DM,100,G
CAL000336609,CAD044003556,223,H141,TT,55,G
CAL000287126,CAT080013352,223,,DM,,G
CAL000287126,CAT080013352,223,H039,DM,110,G
CAD981965668,CAT080013352,223,H039,DM,15,G
CAL000190644,CAT080013352,223,H039,DM,55,G
CAL000190644,CAT080013352,223,H039,DM,40,G
CAL000171134,CAD097030993,223,H141,DM,1800,P
CAD982001323,CAD028409019,223,H141,CF,600,P
CAR000038265,CAD982444481,223,H141,DM,220,G
CAD050125194,CAD982444481,223,H141,DM,55,G
CAL000183056,CAT080013352,223,H039,DM,110,G
CAL000223694,CAD044003556,223,H141,TT,250,G
CAL000314632,CAD044003556,223,H141,TT,4800,G
CAR000153221,NVT330010000,223,H039,DM,55,G
CAD097854541,CAT080013352,223,H039,DM,220,G
CAR000165183,CAT080013352,223,H039,DF,110,G
CAD060398229,AZR000030452,223,H135,TP,755,G
CAD008391815,CAT080013352,223,H039,DM,275,G
CAL000200954,CAT080013352,223,H039,TT,120,G
CAL000234894,CAT080013352,223,H039,TT,1560,G
CAL000270087,CAT080013352,223,H061,DM,110,G
CAD981696420,CAT080013352,223,H039,TT,6000,G
CAD981379787,CAD980887418,223,H141,TT,1210,G
CAD069961548,CAD028409019,223,H141,DM,100,G
CAD981168107,CAD980675276,223,H132,CM,19,Y
CAD009158932,CAT080013352,223,H039,TT,4000,G
CAL000180783,CAD097030993,223,H141,CM,2000,P
CAL000172490,CAD980884183,223,H141,DM,295,P
CAR000149575,CAD980675276,223,H132,CM,50,Y
CAR000015396,CAT080013352,223,H039,TT,2100,G
CAR000057166,NVT330010000,223,H039,DM,100,P
CAL000034861,WIR000029751,223,H039,DM,600,P
CAD982504086,CAD044003556,223,H141,DF,30,G
CAD982503559,CAD044003556,223,H141,DF,20,G
CAR000047167,CAD044003556,223,H141,TT,440,G
CAR000195917,CAD050806850,223,H141,DM,450,P
CAL000337018,AZR000501510,223,H141,TT,1100,G
CAD009125535,CAD059494310,223,H141,DM,8366,P
CAL000329630,CAD059494310,223,H141,DM,110,G
CAL000178818,CAT080013352,223,H039,DM,55,G
CAL000178818,CAD097030993,223,H141,DM,110,G
CAL000209380,CAT080013352,223,H039,DM,110,G
CA0170090211,CAT080013352,223,H039,TP,200,G
CAL000308586,CAD980887418,223,H141,DM,70,P
CAL000171777,CAD980887418,223,H141,DM,300,P
CAL000272259,CAD980887418,223,H141,DM,800,P
CAL000329826,CAD980887418,223,H141,DM,400,P
CAL000300975,CAD980887418,223,H141,DM,2000,P
CAL000313025,CAD980887418,223,H135,TT,120,G
NVD982428930,CAD980887418,223,H135,TT,325,G
NVD982445637,CAD980887418,223,H135,TT,75,G
NVR000080689,CAD980887418,223,H135,TT,1170,G
NVR000083485,CAD980887418,223,H135,TT,1180,G
CAD983599978,CAD981696420,223,H141,TT,120,G
CAL000214404,CAD981696420,223,H141,TT,30,G
CAL000129793,CAD981696420,223,H141,TT,50,G
CAL000333275,CAD981696420,223,H141,TT,20,G
ORD980975692,ORD980980775,223,H040,DM,165,G
CAD981999980,CAT000646117,223,H132,CM,20,Y
CAL000088302,CAD097030993,223,H141,DM,500,P
CAD981439839,CAD097030993,223,H141,DM,25,P
CAD044003556,CAT080013352,223,H039,TT,6000,G
CAL000250513,NVT330010000,223,H132,DF,300,P
CAD066557182,ARD981057870,223,H061,DM,110,G
CAL000308456,CAT080013352,223,H039,TT,1300,G
CAL000226056,NVD982358483,223,H039,TT,675,G
CAD981434061,NVD982358483,223,H039,TT,60,G
CAL000270067,CAD028409019,223,H061,DM,50,G
CAL000336617,CAD044003556,223,H141,TT,40,G
CAL000336629,CAD044003556,223,H141,TT,110,G
CAL000336638,CAD044003556,223,H141,TT,55,G
CAL000114237,CAD982444481,223,H141,DM,90,G
CAD097030993,NVT33001000,223,H039,TP,550,G
CAD097030993,NVT33001000,223,H039,DM,275,G
CAR000105940,CAD982444481,223,H141,DM,165,G
CAL000147060,CAD982446874,223,H141,TT,500,G
CAR000074542,CAD982444481,223,H141,TT,600,G
CAR000047696,CAD008302903,223,H039,TT,28720,L
CAD982028607,CAD980887418,223,H141,DM,200,P
CAD982437089,CAD981696420,223,H141,TT,2500,G
CAL000311708,CAT080013352,223,H039,DM,100,G
CA6170023323,CAD097030993,223,H141,DM,100,P
CAL000128431,CAT080013352,223,H039,TT,195,G
CAC002632214,CAT080013352,223,H039,DM,55,G
CAD982001323,CAD028409019,223,H141,DM,400,P
CAD982001323,CAD028409019,223,H141,CF,200,P
CAL000135557,CAD028409019,223,H141,DM,14000,P
CAD982464448,CAT080013352,223,H039,TT,200,G
CAH111000996,CAD028409019,223,H141,DM,650,P
CAH111000996,CAD028409019,223,H061,DM,50,G
CAL912664129,CAT080013352,223,H039,TT,150,G
CAL000035161,CAT080013352,223,H039,TT,220,G
CAL000301212,CAD028409019,223,H061,DM,55,G
CAL000301212,CAD028409019,223,H141,DM,250,P
CAL000135557,CAD028409019,223,H141,DM,200,P
CAL000249796,CAD982444481,223,H141,DM,100,G
CAL000249796,CAD982444481,223,H141,DF,50,G
CAD983592189,CAT080013352,223,H039,DM,55,G
CAC002636200,AZR000030452,223,H035,TP,250,G
CAD983635137,CAT080013352,223,H039,TP,1100,G
CAD008286536,AZR000030452,223,H135,TP,1650,G
CAD087596607,CAD097030993,223,H141,DM,55,G
CAL000000733,CAT080013352,223,H039,TT,1290,G
CAL000336617,CAT080013352,223,H039,TT,50,G
CAL000282150,CAD044003556,223,H141,TT,50,G
CAL000332868,CAD981696420,223,H141,TT,330,G
CAL000112966,CAD981696420,223,H141,TT,140,G
CAD008335267,CAD981696420,223,H141,TT,420,G
CAD051974327,CAD981696420,223,H141,TT,385,G
CAD981665771,CAD981696420,223,H141,TT,240,G
CAL000331197,CAT080013352,223,H039,DM,140,G
CAL000332534,CAD008302903,223,H039,DM,400,P
CAL000332534,CAD008302903,223,H061,DM,800,P
CAL000019315,CAD981427669,223,,DM,50,P
CAR000034272,CAD060897063,223,H141,DF,30,P
CAL000129070,CAD980887418,223,H141,DM,750,P
CAL000090895,CAD980887418,223,H141,DM,1800,P
CAL000300027,WIR000029751,223,H039,DM,75,P
CAD981376130,CAD980884183,223,H141,DM,2400,P
CAL000186910,WIR000029751,223,H039,DM,75,P
CAL000277733,WIR000029751,223,H039,DM,75,P
CAL000187678,WIR000029751,223,H039,DM,75,P
